===== Final Summary =====
Algorithm,Parameters,Pass_line,Result,Generation,time(ms)
GA,MR=0.2,1e-10,9.95e-01,100,48.57
DE,"MF=0.5, CR=0.7",1e-10,7.59e-11,66,104.292
PSO,"IW=0.5, PC=2.0",1e-10,8.51e-09,100,54.7
===== Convergence History =====
Generation,GA_Cost,DE_Cost,PSO_Cost
51,0.9949653194559787,3.147237777056944e-07,0.00023118829357215986
52,0.9949653194559787,2.235886498169748e-08,0.00023118829357215986
53,0.9949653194559787,2.235886498169748e-08,0.00023118829357215986
54,0.9949653194559787,2.235886498169748e-08,0.00023118829357215986
55,0.9949653194559787,2.235886498169748e-08,0.00021055046891405027
56,0.9949653194559787,2.235886498169748e-08,0.00017584532339043335
57,0.9949653194559787,2.235886498169748e-08,0.00017584532339043335
58,0.9949653194559787,2.1697232455153426e-08,0.00017584532339043335
59,0.9949653194559787,2.1697232455153426e-08,0.00017584532339043335
60,0.9949653194559787,1.6427641469363152e-09,0.00017584532339043335
61,0.9949653194559787,1.9163337583449902e-10,2.025672776184706e-05
62,0.9949653194559787,1.9163337583449902e-10,2.025672776184706e-05
63,0.9949653194559787,1.9163337583449902e-10,2.025672776184706e-05
64,0.9949653194559787,1.9163337583449902e-10,2.025672776184706e-05
65,0.9949653194559787,1.9163337583449902e-10,2.025672776184706e-05
66,0.9949653194559787,7.58646478971059e-11,2.025672776184706e-05
67,0.9949653194559787,,2.025672776184706e-05
68,0.9949653194559787,,2.025672776184706e-05
69,0.9949653194559787,,2.025672776184706e-05
70,0.9949653194559787,,1.1437112526380133e-05
71,0.9949653194559787,,1.1437112526380133e-05
72,0.9949653194559787,,3.059364704682821e-06
73,0.9949653194559787,,2.3221332448031262e-06
74,0.9949653194559787,,2.3221332448031262e-06
75,0.9949653194559787,,2.3221332448031262e-06
76,0.9949653194559787,,2.3221332448031262e-06
77,0.9949653194559787,,2.3221332448031262e-06
78,0.9949653194559787,,2.3221332448031262e-06
79,0.9949653194559787,,2.3221332448031262e-06
80,0.9949653194559787,,2.3221332448031262e-06
81,0.9949653194559787,,2.3221332448031262e-06
82,0.9949653194559787,,3.863189981245796e-07
83,0.9949653194559787,,3.863189981245796e-07
84,0.9949653194559787,,2.628285926675744e-07
85,0.9949653194559787,,2.628285926675744e-07
86,0.9949653194559787,,2.628285926675744e-07
87,0.9949653194559751,,2.628285926675744e-07
88,0.9949653194559751,,2.628285926675744e-07
89,0.9949653194559751,,1.717507345233571e-07
90,0.9949653194559751,,1.717507345233571e-07
91,0.9949653194559751,,7.709635241326396e-08
92,0.9949653194559751,,4.4982350289046735e-08
